Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumberCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,1,College,Life Sciences,1,Medium,Female,High,Experienced,Sales Executive,Very High,Single,5993,8,Yes,11,Excellent,Low,None,8,0,Bad,6,4,0,5
49,No,Travel_Frequently,Research & Development,8,Below College,Life Sciences,2,High,Male,Medium,Experienced,Research Scientist,Medium,Married,5130,1,No,23,Outstanding,Very High,Low,10,3,Better,10,7,1,7
37,Yes,Travel_Rarely,Research & Development,2,College,Other,4,Very High,Male,Medium,Entry,Laboratory Technician,High,Single,2090,6,Yes,15,Excellent,Medium,None,7,3,Better,0,0,0,0
33,No,Travel_Frequently,Research & Development,3,Masters,Life Sciences,5,Very High,Female,High,Entry,Research Scientist,High,Married,2909,1,Yes,11,Excellent,High,None,8,3,Better,8,7,3,0
27,No,Travel_Rarely,Research & Development,2,Below College,Medical,7,Low,Male,High,Entry,Laboratory Technician,Medium,Married,3468,9,No,12,Excellent,Very High,Low,6,3,Better,2,2,2,2
32,No,Travel_Frequently,Research & Development,2,College,Life Sciences,8,Very High,Male,High,Entry,Laboratory Technician,Very High,Single,3068,0,No,13,Excellent,High,None,8,2,Good,7,7,3,6
59,No,Travel_Rarely,Research & Development,3,Bachelors,Medical,10,High,Female,Very High,Entry,Laboratory Technician,Low,Married,2670,4,Yes,20,Outstanding,Low,High,12,3,Good,1,0,0,0
30,No,Travel_Rarely,Research & Development,24,Below College,Life Sciences,11,Very High,Male,High,Entry,Laboratory Technician,High,Divorced,2693,1,No,22,Outstanding,Medium,Low,1,2,Better,1,0,0,0
38,No,Travel_Frequently,Research & Development,23,Bachelors,Life Sciences,12,Very High,Male,Medium,Senior,Manufacturing Director,High,Single,9526,0,No,21,Outstanding,Medium,None,10,2,Better,9,7,1,8
36,No,Travel_Rarely,Research & Development,27,Bachelors,Medical,13,High,Male,High,Experienced,Healthcare Representative,High,Married,5237,6,No,13,Excellent,Medium,Medium,17,3,Good,7,7,7,7
35,No,Travel_Rarely,Research & Development,16,Bachelors,Medical,14,Low,Male,Very High,Entry,Laboratory Technician,Medium,Married,2426,0,No,13,Excellent,High,Low,6,5,Better,5,4,0,3
29,No,Travel_Rarely,Research & Development,15,College,Life Sciences,15,Very High,Female,Medium,Experienced,Laboratory Technician,High,Single,4193,0,Yes,12,Excellent,Very High,None,10,3,Better,9,5,0,8
31,No,Travel_Rarely,Research & Development,26,Below College,Life Sciences,16,Low,Male,High,Entry,Research Scientist,High,Divorced,2911,1,No,17,Excellent,Very High,Low,5,1,Good,5,2,4,3
34,No,Travel_Rarely,Research & Development,19,College,Medical,18,Medium,Male,High,Entry,Laboratory Technician,Very High,Divorced,2661,0,No,11,Excellent,High,Low,3,2,Better,2,2,1,2
